user_id,views,likes,ctr
13289,32,2,0.0625
121096,57,12,0.2105263157894736
5090,14,2,0.1428571428571428
129283,80,23,0.2875
4394,54,25,0.4629629629629629
129995,8,1,0.125
121792,126,25,0.1984126984126984
22116,89,18,0.2022471910112359
114253,38,14,0.3684210526315789
128483,70,7,0.1
120296,101,26,0.2574257425742574
16137,120,23,0.1916666666666666
120608,69,18,0.2608695652173913
15809,92,25,0.2717391304347826
128811,54,13,0.2407407407407407
7626,149,20,0.1342281879194631
110693,35,9,0.2571428571428571
23172,52,8,0.1538461538461538
22604,138,23,0.1666666666666666
18996,81,16,0.1975308641975308
18684,210,43,0.2047619047619047
107037,57,23,0.4035087719298245
116056,103,20,0.1941747572815534
4018,61,15,0.2459016393442623
124243,115,24,0.208695652173913
11633,30,6,0.2
116624,5,2,0.4
109621,13,1,0.0769230769230769
18132,26,5,0.1923076923076923
25623,106,34,0.320754716981132
110333,82,14,0.1707317073170731
17436,63,12,0.1904761904761904
9049,138,23,0.1666666666666666
117616,18,5,0.2777777777777778
8593,41,13,0.3170731707317073
125819,114,25,0.219298245614035
110486,60,17,0.2833333333333333
17783,130,22,0.1692307692307692
109918,80,14,0.175
18367,103,21,0.203883495145631
26548,18,4,0.2222222222222222
117275,81,16,0.1975308641975308
8442,19,1,0.0526315789473684
125144,87,16,0.1839080459770115
116947,206,31,0.1504854368932038
8754,21,2,0.0952380952380952
18839,108,22,0.2037037037037037
107382,48,14,0.2916666666666667
19295,103,15,0.145631067961165
11290,27,4,0.1481481481481481
116475,48,12,0.25
115763,56,10,0.1785714285714285
123960,93,14,0.1505376344086021
120395,98,32,0.3265306122448979
15530,100,25,0.25
128576,108,30,0.2777777777777778
7329,58,9,0.1551724137931034
128136,66,15,0.2272727272727272
119939,139,19,0.1366906474820144
15970,130,28,0.2153846153846154
111558,15,3,0.2
22823,100,21,0.21
110862,89,21,0.2359550561797752
23535,79,12,0.1518987341772152
132633,12,4,0.3333333333333333
4161,107,14,0.1308411214953271
129696,83,17,0.2048192771084337
12362,87,21,0.2413793103448276
121515,84,16,0.1904761904761904
12930,22,8,0.3636363636363636
120931,103,13,0.1262135922330097
129128,140,30,0.2142857142857142
21959,45,6,0.1333333333333333
114470,8,2,0.25
22287,125,21,0.168
114158,30,10,0.3333333333333333
119749,76,32,0.4210526315789473
14628,33,7,0.2121212121212121
127950,91,18,0.1978021978021978
127238,69,28,0.4057971014492754
7143,15,3,0.2
119053,82,15,0.1829268292682926
15340,44,14,0.3181818181818182
131423,67,11,0.1641791044776119
112200,46,15,0.3260869565217391
23721,46,6,0.1304347826086956
24161,58,11,0.1896551724137931
131991,17,6,0.3529411764705882
5583,65,8,0.123076923076923
130862,55,21,0.3818181818181818
122661,74,11,0.1486486486486486
14092,114,13,0.1140350877192982
122349,101,21,0.2079207920792079
130534,127,23,0.1811023622047244
113320,64,14,0.21875
112736,65,8,0.123076923076923
24818,13,3,0.2307692307692307
109080,97,15,0.1546391752577319
108752,65,12,0.1846153846153846
16945,60,11,0.1833333333333333
25146,93,19,0.2043010752688172
118677,64,13,0.203125
9588,28,11,0.3928571428571428
1407,75,10,0.1333333333333333
126294,125,28,0.224
10172,31,12,0.3870967741935484
108280,43,8,0.1860465116279069
20177,88,35,0.3977272727272727
107568,56,14,0.25
2463,45,7,0.1555555555555555
123774,188,32,0.1702127659574468
10644,44,10,0.2272727272727272
115573,34,7,0.2058823529411764
11100,80,15,0.1875
115133,25,3,0.12
2903,115,34,0.2956521739130435
123318,152,32,0.2105263157894736
20410,33,5,0.1515151515151515
107867,49,9,0.1836734693877551
19826,37,3,0.081081081081081
108435,72,14,0.1944444444444444
10807,31,6,0.1935483870967742
2620,30,3,0.1
123101,69,9,0.1304347826086956
2292,68,11,0.1617647058823529
123413,208,36,0.173076923076923
10495,27,8,0.2962962962962963
115230,49,13,0.2653061224489796
108987,53,13,0.2452830188679245
17242,31,9,0.2903225806451613
25425,13,4,0.3076923076923077
24985,29,3,0.1034482758620689
109427,16,3,0.1875
16786,145,32,0.2206896551724138
126013,128,32,0.25
1756,13,3,0.2307692307692307
9943,65,17,0.2615384615384615
118526,55,17,0.3090909090909091
9247,95,15,0.1578947368421052
1044,37,7,0.1891891891891892
13927,86,17,0.1976744186046511
121990,84,25,0.2976190476190476
5740,146,32,0.2191780821917808
130189,95,31,0.3263157894736842
130629,102,27,0.2647058823529412
13487,18,2,0.1111111111111111
122446,158,46,0.2911392405063291
21482,92,21,0.2282608695652173
112907,141,19,0.1347517730496454
20770,122,30,0.2459016393442623
113603,134,22,0.1641791044776119
127085,50,8,0.16
118886,131,34,0.2595419847328244
14983,39,8,0.2051282051282051
119470,82,14,0.1707317073170731
14415,13,4,0.3076923076923077
127653,60,17,0.2833333333333333
6212,61,17,0.2786885245901639
112107,40,9,0.225
24330,44,15,0.3409090909090909
131836,57,19,0.3333333333333333
131124,14,2,0.1428571428571428
24002,44,12,0.2727272727272727
17574,44,10,0.2272727272727272
110151,63,13,0.2063492063492063
18030,217,52,0.2396313364055299
109711,16,2,0.125
288,52,13,0.25
125889,21,5,0.238095238095238
8491,80,20,0.25
117706,29,4,0.1379310344827586
116994,71,15,0.2112676056338028
26701,63,15,0.238095238095238
107175,22,4,0.1818181818181818
18502,39,13,0.3333333333333333
106607,55,13,0.2363636363636363
19086,111,23,0.2072072072072072
116522,31,3,0.0967741935483871
124705,89,13,0.146067415730337
124393,277,39,0.1407942238267148
3848,61,10,0.1639344262295081
116194,153,40,0.261437908496732
12035,7,3,0.4285714285714285
128913,63,13,0.2063492063492063
15739,68,18,0.2647058823529412
120730,39,13,0.3333333333333333
16307,14,0,0.0
8120,107,24,0.2242990654205607
128345,21,3,0.1428571428571428
22774,10,2,0.2
111127,48,10,0.2083333333333333
23102,185,43,0.2324324324324324
110815,55,13,0.2363636363636363
121722,173,21,0.1213872832369942
